"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"arts","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","United Way Youth Board",2019-02-28,"0","0","Belonging & Civic Muscle (B&CM)"
"focus on keeping people connected all sectors through volunteering sports and other venues","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","United Way Youth Board",2019-02-28,"0","0","Belonging & Civic Muscle (B&CM)"
"arts opportunities","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"business chain big box around the ring","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"education focused group feels the need to redesign education for the skills of the future and using music as an expression of creativity","Summary","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"entertainment","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"faith christian options","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-27,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"good parks and churches","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"indoor public community for all aged kids getting away from electronics without stigma","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","electronics","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"non christian options for faith synagogue","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-27,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"small businesses centrally located","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"summer time activities","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"taking advantage of arts","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"teen young adult things to do","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-02-28,"Beckie Overholt","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"arts big deal as well","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-07-05,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"arts engagement","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-08-04,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"downtown revitalization neenah","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-08-20,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"free thought","Best part of living here?","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-07-03,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"good sports and venues for sports","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-07-04,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"have positive productive growth not grow for the sake of growing","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-08-29,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"having the arts in the community is huge","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-08-09,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"nice to have symphony and pac","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-06-26,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"recreation that we are doing pac","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-09-10,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"retain our value structure as we grow","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-09-01,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"strong hard working work ethic","Best part of living here?","Work & Financial Health (W&FH)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-07-11,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"three areas milwaukee madison eau claire and want appleton to be the 4th hub medically pretty important the larger vision","Ideas for Innovation","Health & Safety (H&S)","B&CM-Arts, culture, and spiritual life","interesting","Fox Cities Leaders",2019-09-11,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"try to avoid a siloed mentality don t grow for growth s sake we all own it","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-09-02,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"variety of activities","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-06-25,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"whole foods trader joe s","Ideas for Innovation","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Fox Cities Leaders",2019-09-06,"Beth Flaherty","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"create opportunities for connections community engagements i e food truck rallies","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"downtown brinn theatre space needs to create something that brings people to menasha","Select One","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"include information on community events on the morning announcement at school","Select One","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Menasha HS",NA,"Chloe Hietpas & Sophie","Peter Kelly","Belonging & Civic Muscle (B&CM)"
"arts","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"big city feel and amenities small town values","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"create smart city","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"downtown in appleton is thriving mile of music pac","Best part of living here?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"entertainment","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"faith based","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"inclusive programming in schools","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"keep arts growing and exposure for all to have access","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"more wineries","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"more wineries","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"need to make sure we keep kids here that we make it attractive enough to live here","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"north side of down town is lacking","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"schools are creating multi cultural opportunities","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"stronger family engagement activities that aren t expensvie","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"trending up better infrastructure resilient economy better arts scene","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Rotary",2019-03-12,"Denis Episcopo","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"a lot of things to do hard to figure out what they are or what is happening a place where to see all of the events advertise around town","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"celebrate together","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"churches","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"community events","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"diversity of activities","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"fox valley needs an app promote activities to happen outside of drinking and kids culture job fair volunteer opportunities news advertising artists","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"like big cities too small for me","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"lots to do coffee farmers market","Best part of living here?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"other more consistent events to connect","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"things like mile of music","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton Alliance Church",2019-05-22,"Dennis Episcopo","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"many activities lots to do","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"many activities lots to do","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"plethora of churches","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"plethora of churches","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"provide positive activities of kids of all ages","Ideas for Innovation","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"provide positive activities of kids of all ages","Ideas for Innovation","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"smaller town characteristics neighborhood feeling caring for one another","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"we want to be a community of values not just an agenda of values","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"affordable outdoor music festivals farmers market","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"arts","""Well Being"" brings to mind?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"cultural events music speakers","""Well Being"" brings to mind?","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"cultural exchanges within school district between schools statewide globally","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"great library","""Well Being"" brings to mind?","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"lots of family friendly actitivies","Best part of living here?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"mindfulness and contemplative thinking spirituality","Ideas for Innovation","Health & Safety (H&S)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"sharing common areas","Ideas for Innovation","Humane Housing (HH)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"skype pals sister cities","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"support lower income youth to experience foreign exchange","Ideas for Innovation","Lifelong Learning (LL)","B&CM-Arts, culture, and spiritual life","granddaughter s spanish class all went to spain how was that funded","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"no rooftop bars in the area","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Pfefferle",2019-02-15,"J. Schulist","J. Schulist","Belonging & Civic Muscle (B&CM)"
"vibrant downtown","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Pfefferle",2019-02-15,"J. Schulist","J. Schulist","Belonging & Civic Muscle (B&CM)"
"big place full of games","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"camp bsu","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"community centers better nobody goes to boys and girls club anymore teen center","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"dave and busters shedd aquarium","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"everybody s going to come back","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"festival hip hop usa","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"lot of good stuff for kids but not for adults","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"lot of people stay here to go to college and raise kids good to leave and come back to make the place stronger to make more change","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"mile of music farmers market fairs cheese fest becoming more diverse","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"more cultural activities juneteenth better and more events","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"more fun activities for teens bay beach get boring more things to do","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"program event that exposed everybody to every different culture multi cultural day","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"sport groups for people after house school just for fun","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"theme park","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","St. Mary Central",2019-04-24,"Jack Loken & Mya Gruett","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"there is a high chance to do well as adult but community is sheltered and wouldn t see the same things as chicago or new york could have culture shock outside of this community","Are we trending up or down?","Healthy Environment (HE)","B&CM-Arts, culture, and spiritual life","","St. Mary Central",2019-04-24,"Jack Loken & Mya Gruett","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"arts and cultural programs","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-01-07,"Jason Schulist","Stacy Wegley","Belonging & Civic Muscle (B&CM)"
"amazing compared to fond du lac performing arts center","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"availability of sports and activities and families","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"cinco de mayo celebration in downtown appleton","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"diverse everyone knows a little bit about all the cultures in the appleton area","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"diversity in music offerings","Barriers to community well-being?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"down young people in jobs for experience sports","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","pressure on kids","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"draw in people from many areas","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"get rid of phone and internet and tv","Ideas for Innovation","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"large variety of events","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-03-19,"Jason Schulist","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"lots of events focused on downtown vs outlying communities mile of music oktoberfest farmer s market","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"up appleton still small community feel","Are we trending up or down?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"urban centers are attractive b c they re seen as innovative areas and our children may not see our region that way","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Arts, culture, and spiritual life","","Thrivent",2019-01-07,"Jason Schulist","Stacy Wegley","Belonging & Civic Muscle (B&CM)"
"vibrant downtown","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"when you see a lot of people enjoying activities events","Best part of living here?","Not Marked","B&CM-Arts, culture, and spiritual life","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Belonging & Civic Muscle (B&CM)"
"all diverse activities are not published","Barriers to community well-being?","Not Marked","B&CM-Arts, culture, and spiritual life","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
